image,depth, angle, count
60-15-col-wd-3-1.tif,15,40,0.9199367762
60-15-col-wd-3-1.tif,15,42,0.0476894453
60-15-col-wd-3-1.tif,15,44,0.9491025209
60-15-col-wd-3-1.tif,15,46,0.0953788906
60-15-col-wd-3-1.tif,15,48,1.8398735523
60-15-col-wd-3-1.tif,15,50,0.2501630783
60-15-col-wd-3-1.tif,15,52,0.0050862944
60-15-col-wd-3-1.tif,15,54,6.5155129433
60-15-col-wd-3-1.tif,15,56,0.3915751278
60-15-col-wd-3-1.tif,15,58,0.0292222835
60-15-col-wd-3-1.tif,15,60,0
60-15-col-wd-3-1.tif,15,62,1.2085860968
60-15-col-wd-3-1.tif,15,64,1.5974007845
60-15-col-wd-3-1.tif,15,66,2.9194896221
60-15-col-wd-3-1.tif,15,68,0
60-15-col-wd-3-1.tif,15,70,0.2615485489
60-15-col-wd-3-1.tif,15,72,0.7138027549
60-15-col-wd-3-1.tif,15,74,0.0718341246
60-15-col-wd-3-1.tif,15,76,2.3126945496
60-15-col-wd-3-1.tif,15,78,0
60-15-col-wd-3-1.tif,15,80,0.8673740625
60-15-col-wd-3-1.tif,15,82,0.117071718
60-15-col-wd-3-1.tif,15,84,0
60-15-col-wd-3-1.tif,15,86,0
60-15-col-wd-3-1.tif,15,88,0
60-15-col-wd-3-1.tif,20,-90,15.7171077728
60-15-col-wd-3-1.tif,20,-88,0
60-15-col-wd-3-1.tif,20,-86,0
60-15-col-wd-3-1.tif,20,-84,0
60-15-col-wd-3-1.tif,20,-82,0
60-15-col-wd-3-1.tif,20,-80,0
60-15-col-wd-3-1.tif,20,-78,0
60-15-col-wd-3-1.tif,20,-76,0.2995630503
60-15-col-wd-3-1.tif,20,-74,0
60-15-col-wd-3-1.tif,20,-72,2.3122048378
60-15-col-wd-3-1.tif,20,-70,0
60-15-col-wd-3-1.tif,20,-68,0
60-15-col-wd-3-1.tif,20,-66,0
60-15-col-wd-3-1.tif,20,-64,7.2405281067
60-15-col-wd-3-1.tif,20,-62,0
60-15-col-wd-3-1.tif,20,-60,0
60-15-col-wd-3-1.tif,20,-58,0
60-15-col-wd-3-1.tif,20,-56,1.3580952883
60-15-col-wd-3-1.tif,20,-54,0
60-15-col-wd-3-1.tif,20,-52,0
60-15-col-wd-3-1.tif,20,-50,0
60-15-col-wd-3-1.tif,20,-48,0
60-15-col-wd-3-1.tif,20,-46,11.8621091843
60-15-col-wd-3-1.tif,20,-44,0
60-15-col-wd-3-1.tif,20,-42,0
60-15-col-wd-3-1.tif,20,-40,0
60-15-col-wd-3-1.tif,20,-38,0
60-15-col-wd-3-1.tif,20,-36,1.3580952883
60-15-col-wd-3-1.tif,20,-34,0
60-15-col-wd-3-1.tif,20,-32,0
60-15-col-wd-3-1.tif,20,-30,0
60-15-col-wd-3-1.tif,20,-28,7.2405281067
60-15-col-wd-3-1.tif,20,-26,0
60-15-col-wd-3-1.tif,20,-24,0
60-15-col-wd-3-1.tif,20,-22,0
60-15-col-wd-3-1.tif,20,-20,2.3122048378
60-15-col-wd-3-1.tif,20,-18,0
60-15-col-wd-3-1.tif,20,-16,0.2995630503
60-15-col-wd-3-1.tif,20,-14,0
60-15-col-wd-3-1.tif,20,-12,0
60-15-col-wd-3-1.tif,20,-10,0
60-15-col-wd-3-1.tif,20,-8,0
60-15-col-wd-3-1.tif,20,-6,0
60-15-col-wd-3-1.tif,20,-4,0
60-15-col-wd-3-1.tif,20,-2,0
60-15-col-wd-3-1.tif,20,1.27222193825778E-013,15.7171077728
60-15-col-wd-3-1.tif,20,2,0
60-15-col-wd-3-1.tif,20,4,0
60-15-col-wd-3-1.tif,20,6,0
60-15-col-wd-3-1.tif,20,8,0
60-15-col-wd-3-1.tif,20,10,0
60-15-col-wd-3-1.tif,20,12,0
60-15-col-wd-3-1.tif,20,14,0.2995630503
60-15-col-wd-3-1.tif,20,16,0
60-15-col-wd-3-1.tif,20,18,2.3122048378
60-15-col-wd-3-1.tif,20,20,0
60-15-col-wd-3-1.tif,20,22,0
60-15-col-wd-3-1.tif,20,24,0
60-15-col-wd-3-1.tif,20,26,7.2405281067
60-15-col-wd-3-1.tif,20,28,0
60-15-col-wd-3-1.tif,20,30,0
60-15-col-wd-3-1.tif,20,32,0
60-15-col-wd-3-1.tif,20,34,1.3580952883
60-15-col-wd-3-1.tif,20,36,0
60-15-col-wd-3-1.tif,20,38,0
60-15-col-wd-3-1.tif,20,40,0
60-15-col-wd-3-1.tif,20,42,0
60-15-col-wd-3-1.tif,20,44,11.8621091843
60-15-col-wd-3-1.tif,20,46,0
60-15-col-wd-3-1.tif,20,48,0
60-15-col-wd-3-1.tif,20,50,0
60-15-col-wd-3-1.tif,20,52,0
60-15-col-wd-3-1.tif,20,54,1.3580952883
60-15-col-wd-3-1.tif,20,56,0
60-15-col-wd-3-1.tif,20,58,0
60-15-col-wd-3-1.tif,20,60,0
60-15-col-wd-3-1.tif,20,62,7.2405281067
60-15-col-wd-3-1.tif,20,64,0
60-15-col-wd-3-1.tif,20,66,0
60-15-col-wd-3-1.tif,20,68,0
60-15-col-wd-3-1.tif,20,70,2.3122048378
60-15-col-wd-3-1.tif,20,72,0
60-15-col-wd-3-1.tif,20,74,0.2995630503
60-15-col-wd-3-1.tif,20,76,0
60-15-col-wd-3-1.tif,20,78,0
60-15-col-wd-3-1.tif,20,80,0
60-15-col-wd-3-1.tif,20,82,0
60-15-col-wd-3-1.tif,20,84,0
60-15-col-wd-3-1.tif,20,86,0
60-15-col-wd-3-1.tif,20,88,0
60-15-col-wd-3-1.tif,25,-90,0
60-15-col-wd-3-1.tif,25,-88,0
60-15-col-wd-3-1.tif,25,-86,0
60-15-col-wd-3-1.tif,25,-84,0.3817274272
60-15-col-wd-3-1.tif,25,-82,2.8281848431
60-15-col-wd-3-1.tif,25,-80,0
60-15-col-wd-3-1.tif,25,-78,7.5408391953
60-15-col-wd-3-1.tif,25,-76,0
60-15-col-wd-3-1.tif,25,-74,0
60-15-col-wd-3-1.tif,25,-72,0.2501852512
60-15-col-wd-3-1.tif,25,-70,0
60-15-col-wd-3-1.tif,25,-68,0
60-15-col-wd-3-1.tif,25,-66,5.2085313797
60-15-col-wd-3-1.tif,25,-64,1.9720127583
60-15-col-wd-3-1.tif,25,-62,0
60-15-col-wd-3-1.tif,25,-60,0.095283024
60-15-col-wd-3-1.tif,25,-58,0
60-15-col-wd-3-1.tif,25,-56,6.197365284
60-15-col-wd-3-1.tif,25,-54,0.0165845193
60-15-col-wd-3-1.tif,25,-52,0.8156890273
60-15-col-wd-3-1.tif,25,-50,0
60-15-col-wd-3-1.tif,25,-48,0
60-15-col-wd-3-1.tif,25,-46,0.0010205858
60-15-col-wd-3-1.tif,25,-44,0.1554975808
60-15-col-wd-3-1.tif,25,-42,2.9995725155
60-15-col-wd-3-1.tif,25,-40,0
60-15-col-wd-3-1.tif,25,-38,0
60-15-col-wd-3-1.tif,25,-36,7.3466725349
60-15-col-wd-3-1.tif,25,-34,0.6383906007
60-15-col-wd-3-1.tif,25,-32,0
60-15-col-wd-3-1.tif,25,-30,0
60-15-col-wd-3-1.tif,25,-28,0.0408234298
60-15-col-wd-3-1.tif,25,-26,0
60-15-col-wd-3-1.tif,25,-24,4.7596859932
60-15-col-wd-3-1.tif,25,-22,0
60-15-col-wd-3-1.tif,25,-20,0
60-15-col-wd-3-1.tif,25,-18,1.1637229919
60-15-col-wd-3-1.tif,25,-16,0.0780748129
60-15-col-wd-3-1.tif,25,-14,0
60-15-col-wd-3-1.tif,25,-12,0
60-15-col-wd-3-1.tif,25,-10,0
60-15-col-wd-3-1.tif,25,-8,0
60-15-col-wd-3-1.tif,25,-6,0
60-15-col-wd-3-1.tif,25,-4,0
60-15-col-wd-3-1.tif,25,-2,0
60-15-col-wd-3-1.tif,25,1.27222193825778E-013,15.0202732086
60-15-col-wd-3-1.tif,25,2,0
60-15-col-wd-3-1.tif,25,4,0
60-15-col-wd-3-1.tif,25,6,0
60-15-col-wd-3-1.tif,25,8,0
60-15-col-wd-3-1.tif,25,10,0
60-15-col-wd-3-1.tif,25,12,0
60-15-col-wd-3-1.tif,25,14,0.0780748129
60-15-col-wd-3-1.tif,25,16,1.1637229919
60-15-col-wd-3-1.tif,25,18,0
60-15-col-wd-3-1.tif,25,20,0
60-15-col-wd-3-1.tif,25,22,4.7596859932
60-15-col-wd-3-1.tif,25,24,0
60-15-col-wd-3-1.tif,25,26,0.0408234298
60-15-col-wd-3-1.tif,25,28,0
60-15-col-wd-3-1.tif,25,30,0
60-15-col-wd-3-1.tif,25,32,0.6383906007
60-15-col-wd-3-1.tif,25,34,7.3466725349
60-15-col-wd-3-1.tif,25,36,0
60-15-col-wd-3-1.tif,25,38,0
60-15-col-wd-3-1.tif,25,40,2.9995725155
60-15-col-wd-3-1.tif,25,42,0.1554975808
60-15-col-wd-3-1.tif,25,44,0.0010205858
60-15-col-wd-3-1.tif,25,46,0
60-15-col-wd-3-1.tif,25,48,0
60-15-col-wd-3-1.tif,25,50,0.8156890273
60-15-col-wd-3-1.tif,25,52,0.0165845193
60-15-col-wd-3-1.tif,25,54,6.197365284
60-15-col-wd-3-1.tif,25,56,0
60-15-col-wd-3-1.tif,25,58,0.095283024
60-15-col-wd-3-1.tif,25,60,0
60-15-col-wd-3-1.tif,25,62,1.9720127583
60-15-col-wd-3-1.tif,25,64,5.2085313797
60-15-col-wd-3-1.tif,25,66,0
60-15-col-wd-3-1.tif,25,68,0
60-15-col-wd-3-1.tif,25,70,0.2501852512
60-15-col-wd-3-1.tif,25,72,0
60-15-col-wd-3-1.tif,25,74,0
60-15-col-wd-3-1.tif,25,76,7.5408391953
60-15-col-wd-3-1.tif,25,78,0
