Distance_From_Tip,Intensity,Reporter
0.3896,987.9257,zat12
0.3824,1047.5682,zat12
0.3752,1305.0563,zat12
0.368,1615.0393,zat12
0.3608,1721.7803,zat12
0.3535,1553.8779,zat12
0.3463,1600.6477,zat12
0.3391,1704.0476,zat12
0.3319,1759.4207,zat12
0.3247,1556.7467,zat12
0.3175,1425.5454,zat12
0.3102,1479.6736,zat12
0.303,1743.9454,zat12
0.2958,1825.594,zat12
0.2886,1933.1104,zat12
0.2814,1992.4044,zat12
0.2742,2079.3674,zat12
0.267,2343.2671,zat12
0.2597,2531.3984,zat12
0.2525,3052.5352,zat12
