"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"67",67,"60-15-col-ww-2.tif",1,"314f6b54-da15-493a-81be-2800d96d1cda",28.635643,65.22,974,313,1000,325,64.38,-1,-1,-1,-1,-1,-1,15,3,0.1,974,1984,1972,1000
"68",68,"60-15-col-ww-2.tif",1,"95a7f02e-1164-4bb9-b600-3c3e363b2d55",61.81424,9.31,942,315,952,376,56.55,-1,-1,-1,-1,-1,-1,15,3,0.21,942,1982,1921,952
"69",69,"60-15-col-ww-2.tif",1,"80c30759-aa9f-4451-8a35-9f9c5983524a",37.01351,51.58,1088,327,1117,350,44.36,-1,-1,-1,-1,-1,-1,15,3,0.12,1088,1970,1947,1117
"70",70,"60-15-col-ww-2.tif",1,"426edef0-7df4-405e-8aba-737465bcbe6e",130.80138,36.61,1011,334,1089,439,68.48,-1,-1,-1,-1,-1,-1,15,3,0.44,1011,1963,1858,1089
"71",71,"60-15-col-ww-2.tif",1,"13eafbb8-74ee-4e38-a74f-208ac661c9bc",26,67.38,883,344,859,354,56.06,-1,-1,-1,-1,-1,-1,15,3,0.09,883,1953,1943,859
"72",72,"60-15-col-ww-2.tif",1,"3ff2a444-8c16-43e7-852a-62e71fce2e3d",49.396355,21.37,802,345,784,391,54.18,-1,-1,-1,-1,-1,-1,15,3,0.17,802,1952,1906,784
"73",73,"60-15-col-ww-2.tif",1,"35f630c3-dd33-41a0-b683-35b909b9cd2e",129.80756,68.77,727,355,606,402,54.96,-1,-1,-1,-1,-1,-1,15,3,0.44,727,1942,1895,606
"74",74,"60-15-col-ww-2.tif",1,"06f1b92a-70b9-4ae6-9fa5-4f818ad77cfe",46.69047,46.74,783,363,749,395,55.76,-1,-1,-1,-1,-1,-1,15,3,0.16,783,1934,1902,749
"75",75,"60-15-col-ww-2.tif",1,"d3a131d2-d074-4537-93f5-7e2c71ce9e17",43.13931,45.94,1198,363,1229,393,62.35,-1,-1,-1,-1,-1,-1,15,3,0.14,1198,1934,1904,1229
"76",76,"60-15-col-ww-2.tif",1,"450d8ba6-d5f4-4b51-b937-307879254d26",32.202484,53.84,951,377,977,396,57.59,-1,-1,-1,-1,-1,-1,15,3,0.11,951,1920,1901,977
"77",77,"60-15-col-ww-2.tif",1,"bd1d4674-a1ae-4a8f-8a5d-a69f07a0e6b4",63.387695,6.34,949,379,956,442,59.6,-1,-1,-1,-1,-1,-1,15,3,0.21,949,1918,1855,956
"78",78,"60-15-col-ww-2.tif",1,"f4e0e27e-3bea-4a9d-b0a4-7c194c4adc80",99.985,30.67,1141,380,1192,466,53.9,-1,-1,-1,-1,-1,-1,15,3,0.34,1141,1917,1831,1192
