"","accession","angle","count"
"157","col",42,1.26041376590729
"158","col",44,1.83822345733643
"159","col",46,1.21843695640564
"160","col",48,1.23730945587158
"161","col",50,1.22830545902252
"162","col",52,1.2834392786026
"163","col",54,1.49365472793579
"164","col",56,1.38354015350342
"165","col",58,1.2698894739151
"166","col",60,0.957908272743225
"167","col",62,1.00553810596466
"168","col",64,0.920515179634094
"169","col",66,0.869559168815613
"170","col",68,0.821259737014771
"171","col",70,0.873769223690033
"172","col",72,0.77602344751358
"173","col",74,0.78112667798996
"174","col",76,0.74239856004715
"175","col",78,0.611206889152527
"176","col",80,0.631236851215363
"177","col",82,0.673792719841003
"178","col",84,0.656624734401703
"179","col",86,0.658151805400848
"180","col",88,0.705211043357849
"181","sha",90,1.47915196418762
"182","sha",88,1.36160278320312
"183","sha",86,1.20882630348206
"184","sha",84,1.16628539562225
"185","sha",82,1.52368903160095
"186","sha",80,1.4283903837204
"187","sha",78,1.60875654220581
"188","sha",76,1.54205250740051
"189","sha",74,1.43768990039825
"190","sha",72,1.43146347999573
"191","sha",70,1.32916653156281
"192","sha",68,1.39670240879059
"193","sha",66,1.48417341709137
"194","sha",64,1.47822368144989
"195","sha",62,1.30290389060974
"196","sha",60,1.24197852611542
"197","sha",58,1.28907942771912
"198","sha",56,1.22101747989655
"199","sha",54,1.07019662857056
"200","sha",52,0.976934373378754
"201","sha",50,1.06086397171021
"202","sha",48,0.950588643550873
"203","sha",46,1.19820523262024
"204","sha",44,0.921330392360687
"205","sha",42,0.854777634143829
"206","sha",40,0.837005972862244
"207","sha",38,0.825866878032684
"208","sha",36,0.902841627597809
"209","sha",34,0.94703871011734
"210","sha",32,0.832157015800476
"211","sha",30,0.759905576705933
"212","sha",28,0.768672943115234
"213","sha",26,0.710108041763306
"214","sha",24,0.67766261100769
"215","sha",22,0.723150074481964
"216","sha",20,0.701770782470703
"217","sha",18,0.769179701805115
"218","sha",16,0.843873798847198
"219","sha",14,0.797890663146973
"220","sha",12,0.726724565029144
"221","sha",10,0.722482740879059
"222","sha",8,0.637232303619385
"223","sha",6,0.664375424385071
"224","sha",4,0.646900773048401
"225","sha",2,0.673161566257477
"226","sha",1.27222193825778e-13,0.777045130729675
"227","sha",2,0.693325221538544
"228","sha",4,0.698544085025787
"229","sha",6,0.750102281570435
"230","sha",8,0.741187274456024
"231","sha",10,0.906544923782349
"232","sha",12,0.965752780437469
"233","sha",14,0.970190703868866
"234","sha",16,0.971619129180908
"235","sha",18,0.938000321388245
"236","sha",20,0.896955549716949
"237","sha",22,0.965552628040314
"238","sha",24,1.04868900775909
"239","sha",26,1.0902361869812
"240","sha",28,1.16709053516388
"241","sha",30,1.11203265190125
"242","sha",32,1.27229571342468
"243","sha",34,1.27079141139984
"244","sha",36,1.30198287963867
"245","sha",38,1.28790163993835
"246","sha",40,1.39025056362152
"247","sha",42,1.3347475528717
"248","sha",44,1.7067745923996
"249","sha",46,1.43084120750427
"250","sha",48,1.47859072685242
"251","sha",50,1.37766599655151
"252","sha",52,1.2916818857193
"253","sha",54,1.29161429405212
"254","sha",56,1.43846786022186
"255","sha",58,1.38697969913483
"256","sha",60,1.43391668796539
"257","sha",62,1.39989578723907
"258","sha",64,1.43398368358612
"259","sha",66,1.3688793182373
"260","sha",68,1.13804697990417
"261","sha",70,1.32022631168365
"262","sha",72,1.25171256065369
"263","sha",74,1.24109053611755
"264","sha",76,1.31155931949615
"265","sha",78,1.24559164047241
"266","sha",80,1.18877744674683
"267","sha",82,1.09780991077423
"268","sha",84,1.18202292919159
"269","sha",86,1.11000216007233
"270","sha",88,1.19097781181335
