image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,066fd8ca-9952-4081-afaa-0816ae86cbbd,5.423497,1.6473552,75.70998,880,2588
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,e820d8e6-8737-42e9-a55d-fe592847174c,7.0833335,1.8999999,22.472204,713,388
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,8a162c01-57f0-4dd0-b354-8bb8f7067bf4,5.723214,1.5335414,29.410883,662,444
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,6d3a6313-9550-4e6a-94d3-2bf5bda418a5,6.3006535,1.653527,27.202942,846,536
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,5295d18b-0386-440b-b844-163e96108384,7.394191,2.2892816,60.00833,667,597
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,70fc0e3b-3945-4db0-9c9d-51cf42eba99e,7.7989416,2.533243,30.413813,431,613
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,50e16d59-143f-45c9-923e-f0defbdf1fd1,6.6216216,1.8563266,42.80187,668,638
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,ff70ca6f-8947-4163-9570-5efafecfb9ba,6.104651,1.9476191,38.013157,565,662
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,7a6d3a6b-3aab-4503-bf90-20fee9671f8d,6.754386,2.0077922,26,717,656
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,44e350d9-e591-41c3-8a77-7611027519ae,6.8471336,2.2688372,29.206163,526,753
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,75318833-986a-4f3f-8ae9-30d58b5e8aad,6.6991153,1.8797885,27.730848,697,765
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,3fec6490-cb1a-4274-8226-1cb8b4662615,8.906433,1.8818122,29.832869,1092,762
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,1db6f280-2019-44da-8dbd-351fde442f9d,7.487805,2.2899022,22.803509,379,805
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,d681401f-cbe1-45fd-bcff-ad7fff3a5060,6.992647,2.218717,25.495098,459,852
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,8604364a-b658-4f8e-bacc-2fe02cc4c265,7.983333,2.6492693,21.377558,625,871
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,e0f101f2-3636-4a68-892d-e849067b2aa4,8.119205,2.6288745,27.89265,544,904
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,b1f2c9a0-87be-4a9f-8d72-3c453ad1e51e,9.489796,2.6616488,30.083218,649,937
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,53ab9f95-15d2-4f06-9aba-0e42320cc354,13.801075,2.5409038,49.24429,1619,1039
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,4b1e2a38-4c71-4640-928a-d364724fce38,6.4099617,2.235505,55.578773,723,1057
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,63cd21f4-3280-48af-a128-338d42248e08,7.643357,1.7529734,26.476404,1216,1041
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,c04d60e4-980a-4bf5-87eb-1c8c575d3492,9.052631,2.8488374,50.606323,1353,1078
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,7b60a577-90bf-4192-86e4-4e421d332408,7.8429317,2.5547397,24.596748,564,1089
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,c0bcede9-64a2-498a-ac20-31f185e5932c,5.6929827,1.7711864,40,176,1181
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,47919d5d-9bad-4344-b9e7-bdcdfc15ba1a,8.050692,2.7945046,34.48188,748,1178
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,ec6cd047-d4bf-4dc2-93e4-f5b8d45c897e,9.816793,2.818818,20.808653,741,1209
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,c4d89a40-88be-46e5-8fd5-743efbfa5b9c,10.556213,2.399103,52.46904,1016,1234
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,6e3cf1d5-cd73-4180-b152-d81cf702665e,6.5663266,2.5415695,45.122055,849,1242
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,0ae37972-1706-4d28-b759-fcd919fb0f33,7.9772725,2.1589744,41.785164,508,1258
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,d230f3b1-5165-4b25-9a2d-41fd64b9fe90,13.641248,2.9442255,86.34813,1694,1300
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,32b6ab63-0d55-4d30-a59a-5ea3e6fb7df9,7.455128,2.399398,36.71512,742,1271
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,66b8a741-b72f-4db5-b685-c4bb8d59f370,17.791836,2.7710485,34.48188,1307,1279
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,dadc047a-d578-462a-a3f0-72c87c94e8cd,18.755814,2.5208929,48.270073,1428,1296
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,41e455e0-9a14-4caa-adc8-4729513e9456,9.453238,2.5569825,116.1034,1502,1369
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,26f1f38a-51ea-48cc-9e9f-148c2fca80c9,8.910959,2.0199845,27.658634,1448,1335
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,5477efe3-9eab-4e34-a9e4-e2082f119831,7.360656,2.3942094,45.221676,580,1360
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,9e3b4d23-1113-4abd-8a0a-47e4ebc0db70,12.879093,2.614512,61.46544,1395,1384
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,4c2a7a9d-ac94-49b6-849f-e3d87ed3389f,11.527094,2.8386753,56.753853,799,1472
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,215a6957-7af1-408e-9b3d-d44ffc10360b,6.6494465,1.9594895,56.859474,662,1491
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,cad56bb3-e5c4-4ba0-b888-57bd63455185,10.868217,2.7368045,20,755,1512
