id,label,envi,x,y,group,time_in_serie,hum
220,60-16-col-wd-1.tif,40.7,1295.62,546.78,2,1,58.491
221,60-16-col-wd-1.tif,39.47,1302.65,680.80,2,1,63.2511
222,60-16-col-wd-1.tif,39.69,1294.86,844.26,2,1,62.3997
223,60-16-col-wd-1.tif,40.58,1277.13,996.98,2,1,58.9554
224,60-16-col-wd-1.tif,40.02,1288.59,1129.13,2,1,61.1226
225,60-16-col-wd-1.tif,40.44,1288.88,1298.92,2,1,59.4972
226,60-16-col-wd-1.tif,40.52,1287.37,1454.02,2,1,59.1876
227,60-16-col-wd-1.tif,41.08,1302.33,1583.97,2,1,57.0204
228,60-16-col-wd-1.tif,40.85,1276.92,1738.14,2,1,57.9105
229,60-16-col-wd-1.tif,40.23,1289.85,1893.35,2,1,60.3099
230,60-16-col-wd-1.tif,42.63,1304.15,2030.75,2,1,51.0219
231,60-16-col-wd-1.tif,39.84,1293.27,2202.44,2,1,61.8192
232,60-16-col-wd-1.tif,40.62,1291.56,2339.60,2,1,58.8006
233,60-16-col-wd-1.tif,41.07,1286.52,2475.95,2,1,57.0591
234,60-16-col-wd-1.tif,39.84,1279.63,2644.27,2,1,61.8192
235,60-16-col-wd-1.tif,39.36,1280.60,2781.59,2,1,63.6768
236,60-16-col-wd-1.tif,41.12,1298.30,2927.40,2,1,56.8656
237,60-16-col-wd-1.tif,39.67,1303.01,3080.68,2,1,62.4771
238,60-16-col-wd-1.tif,40.86,1289.23,3248.58,2,1,57.8718
239,60-16-col-wd-1.tif,40.38,1300.60,3398.62,2,1,59.7294
240,60-16-col-wd-1.tif,41.93,1293.61,3539.96,2,1,53.7309
241,60-16-col-wd-1.tif,42.13,1287.45,3687.07,2,1,52.9569
242,60-16-col-wd-1.tif,41.48,1281.25,3850.50,2,1,55.4724
243,60-16-col-wd-1.tif,50.45,1280.85,4004.25,2,1,20.7585
244,60-16-col-wd-1.tif,40.38,1441.18,90.31,2,1,59.7294
245,60-16-col-wd-1.tif,40.2,1427.44,238.85,2,1,60.426
246,60-16-col-wd-1.tif,40.06,1440.25,399.65,2,1,60.9678
247,60-16-col-wd-1.tif,41.44,1436.38,546.05,2,1,55.6272
248,60-16-col-wd-1.tif,39.6,1444.11,683.29,2,1,62.748
249,60-16-col-wd-1.tif,39.69,1449.39,837.98,2,1,62.3997
250,60-16-col-wd-1.tif,41.55,1430.16,989.93,2,1,55.2015
251,60-16-col-wd-1.tif,40.4,1428.24,1126.43,2,1,59.652
252,60-16-col-wd-1.tif,40.06,1428.84,1275.37,2,1,60.9678
253,60-16-col-wd-1.tif,39.24,1447.58,1433.87,2,1,64.1412
254,60-16-col-wd-1.tif,41.54,1434.89,1595.97,2,1,55.2402
255,60-16-col-wd-1.tif,41.01,1425.13,1723.73,2,1,57.2913
256,60-16-col-wd-1.tif,39.96,1446.25,1898.68,2,1,61.3548
257,60-16-col-wd-1.tif,40.29,1446.01,2039.60,2,1,60.0777
258,60-16-col-wd-1.tif,39.16,1444.14,2189.99,2,1,64.4508
259,60-16-col-wd-1.tif,39.7,1433.68,2347.17,2,1,62.361
260,60-16-col-wd-1.tif,40.95,1453.28,2499.31,2,1,57.5235
261,60-16-col-wd-1.tif,39.09,1430.39,2629.37,2,1,64.7217
262,60-16-col-wd-1.tif,40.11,1446.96,2804.66,2,1,60.7743
263,60-16-col-wd-1.tif,41.12,1427.77,2938.33,2,1,56.8656
264,60-16-col-wd-1.tif,40.2,1430.86,3096.26,2,1,60.426
265,60-16-col-wd-1.tif,40.75,1451.85,3227.89,2,1,58.2975
266,60-16-col-wd-1.tif,40.16,1425.23,3395.34,2,1,60.5808
267,60-16-col-wd-1.tif,41.34,1431.38,3534.60,2,1,56.0142
268,60-16-col-wd-1.tif,41.48,1455.03,3689.73,2,1,55.4724
269,60-16-col-wd-1.tif,41.84,1435.18,3850.79,2,1,54.0792
270,60-16-col-wd-1.tif,48.67,1425.33,3993.64,2,1,27.6471
271,60-16-col-wd-1.tif,43.55,1595.39,96.71,2,1,47.4615
272,60-16-col-wd-1.tif,42.97,1599.32,230.82,2,1,49.7061
273,60-16-col-wd-1.tif,41.57,1590.04,387.92,2,1,55.1241
274,60-16-col-wd-1.tif,41.19,1582.78,532.65,2,1,56.5947
275,60-16-col-wd-1.tif,40.69,1584.01,678.87,2,1,58.5297
276,60-16-col-wd-1.tif,40.58,1579.20,828.34,2,1,58.9554
277,60-16-col-wd-1.tif,40.7,1605.05,997.75,2,1,58.491
278,60-16-col-wd-1.tif,40.84,1602.02,1129.56,2,1,57.9492
279,60-16-col-wd-1.tif,39.93,1601.47,1297.65,2,1,61.4709
280,60-16-col-wd-1.tif,39.66,1582.90,1436.85,2,1,62.5158
281,60-16-col-wd-1.tif,40.24,1586.45,1590.09,2,1,60.2712
282,60-16-col-wd-1.tif,39.96,1599.98,1736.94,2,1,61.3548
283,60-16-col-wd-1.tif,40.2,1586.13,1899.24,2,1,60.426
284,60-16-col-wd-1.tif,40.12,1589.22,2044.84,2,1,60.7356
285,60-16-col-wd-1.tif,39.43,1603.75,2176.16,2,1,63.4059
286,60-16-col-wd-1.tif,40.51,1585.10,2346.16,2,1,59.2263
287,60-16-col-wd-1.tif,40.27,1604.37,2478.88,2,1,60.1551
288,60-16-col-wd-1.tif,40.3,1599.62,2650.67,2,1,60.039
289,60-16-col-wd-1.tif,40.15,1580.49,2778.86,2,1,60.6195
290,60-16-col-wd-1.tif,40.69,1594.14,2937.16,2,1,58.5297
291,60-16-col-wd-1.tif,41.44,1588.95,3079.81,2,1,55.6272
292,60-16-col-wd-1.tif,40.94,1598.29,3232.35,2,1,57.5622
293,60-16-col-wd-1.tif,40.98,1583.30,3400.17,2,1,57.4074
294,60-16-col-wd-1.tif,40.38,1584.19,3526.57,2,1,59.7294
295,60-16-col-wd-1.tif,40.78,1581.61,3692.16,2,1,58.1814
296,60-16-col-wd-1.tif,42.76,1588.87,3841.61,2,1,50.5188
297,60-16-col-wd-1.tif,49.44,1585.25,4004.92,2,1,24.6672
298,60-16-col-wd-1.tif,41.67,1733.42,84.51,2,1,54.7371
299,60-16-col-wd-1.tif,40.64,1737.10,250.77,2,1,58.7232
300,60-16-col-wd-1.tif,42.09,1735.49,401.88,2,1,53.1117
301,60-16-col-wd-1.tif,41.68,1743.23,538.20,2,1,54.6984
302,60-16-col-wd-1.tif,41.78,1742.75,685.35,2,1,54.3114
303,60-16-col-wd-1.tif,40.25,1744.67,837.24,2,1,60.2325
304,60-16-col-wd-1.tif,41.23,1734.98,990.62,2,1,56.4399
305,60-16-col-wd-1.tif,41.79,1734.94,1148.80,2,1,54.2727
306,60-16-col-wd-1.tif,40.25,1743.99,1289.04,2,1,60.2325
307,60-16-col-wd-1.tif,41.71,1735.45,1431.94,2,1,54.5823
308,60-16-col-wd-1.tif,41.13,1747.95,1576.53,2,1,56.8269
309,60-16-col-wd-1.tif,39.81,1741.70,1734.18,2,1,61.9353
310,60-16-col-wd-1.tif,39.99,1743.20,1888.79,2,1,61.2387
311,60-16-col-wd-1.tif,39.59,1724.53,2025.64,2,1,62.7867
312,60-16-col-wd-1.tif,38.47,1744.02,2204.77,2,1,67.1211
313,60-16-col-wd-1.tif,39.47,1751.12,2341.72,2,1,63.2511
314,60-16-col-wd-1.tif,40.64,1737.41,2502.61,2,1,58.7232
315,60-16-col-wd-1.tif,39.92,1724.82,2641.24,2,1,61.5096
316,60-16-col-wd-1.tif,40.29,1724.58,2799.58,2,1,60.0777
317,60-16-col-wd-1.tif,40.29,1740.67,2936.07,2,1,60.0777
318,60-16-col-wd-1.tif,39.05,1746.80,3087.37,2,1,64.8765
319,60-16-col-wd-1.tif,38.65,1739.78,3229.15,2,1,66.4245
320,60-16-col-wd-1.tif,39.67,1734.06,3376.49,2,1,62.4771
321,60-16-col-wd-1.tif,40.25,1746.88,3526.30,2,1,60.2325
322,60-16-col-wd-1.tif,41.38,1735.45,3683.93,2,1,55.8594
323,60-16-col-wd-1.tif,42.13,1750.50,3842.99,2,1,52.9569
324,60-16-col-wd-1.tif,49.83,1749.18,3998.17,2,1,23.1579
325,60-16-col-wd-1.tif,45.98,1900.30,95.79,2,1,38.0574
326,60-16-col-wd-1.tif,44.22,1901.16,252.74,2,1,44.8686
327,60-16-col-wd-1.tif,42.54,1894.08,382.12,2,1,51.3702
328,60-16-col-wd-1.tif,43.08,1898.10,551.92,2,1,49.2804
329,60-16-col-wd-1.tif,40.18,1878.27,683.57,2,1,60.5034
330,60-16-col-wd-1.tif,40,1880.98,829.93,2,1,61.2
331,60-16-col-wd-1.tif,41.24,1891.15,983.69,2,1,56.4012
332,60-16-col-wd-1.tif,41.87,1905.97,1135.35,2,1,53.9631
333,60-16-col-wd-1.tif,40.3,1881.58,1282.86,2,1,60.039
334,60-16-col-wd-1.tif,41.52,1902.82,1433.70,2,1,55.3176
335,60-16-col-wd-1.tif,41.01,1889.68,1599.10,2,1,57.2913
