"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"304","32","20","col","dark","14","1.tif",0,14.350649,24,0
"305","32","20","col","dark","14","1.tif",0,14.350649,22,0
"306","32","20","col","dark","14","1.tif",0,14.350649,20,2.77148985862732
"307","32","20","col","dark","14","1.tif",0,14.350649,18,0
"308","32","20","col","dark","14","1.tif",0,14.350649,16,0
"309","32","20","col","dark","14","1.tif",0,14.350649,14,7.06388521194458
"310","32","20","col","dark","14","1.tif",0,14.350649,12,0.127105116844177
"311","32","20","col","dark","14","1.tif",0,14.350649,10,1.56457936763763
"312","32","20","col","dark","14","1.tif",0,14.350649,8,3.39507651329041
"313","32","20","col","dark","14","1.tif",0,14.350649,6,1.23384261131287
"314","32","20","col","dark","14","1.tif",0,14.350649,4,0.173676609992981
"315","32","20","col","dark","14","1.tif",0,14.350649,2,0
"316","32","20","col","dark","14","1.tif",0,14.350649,1.27222193825778e-13,0
"317","32","20","col","dark","14","1.tif",0,14.350649,2,0.173676609992981
"318","32","20","col","dark","14","1.tif",0,14.350649,4,1.23384261131287
"319","32","20","col","dark","14","1.tif",0,14.350649,6,3.39507651329041
"320","32","20","col","dark","14","1.tif",0,14.350649,8,1.56457936763763
"321","32","20","col","dark","14","1.tif",0,14.350649,10,0.127105116844177
"322","32","20","col","dark","14","1.tif",0,14.350649,12,7.06388521194458
"323","32","20","col","dark","14","1.tif",0,14.350649,14,0
"324","32","20","col","dark","14","1.tif",0,14.350649,16,0
"325","32","20","col","dark","14","1.tif",0,14.350649,18,2.77148985862732
"326","32","20","col","dark","14","1.tif",0,14.350649,20,0
"327","32","20","col","dark","14","1.tif",0,14.350649,22,0
"328","32","20","col","dark","14","1.tif",0,14.350649,24,2.90600538253784
"329","32","20","col","dark","14","1.tif",0,14.350649,26,1.63640487194061
"330","32","20","col","dark","14","1.tif",0,14.350649,28,0
"331","32","20","col","dark","14","1.tif",0,14.350649,30,0.0802670121192932
"332","32","20","col","dark","14","1.tif",0,14.350649,32,0.0775263607501984
"333","32","20","col","dark","14","1.tif",0,14.350649,34,7.16242694854736
"334","32","20","col","dark","14","1.tif",0,14.350649,36,0.0137620754539967
"335","32","20","col","dark","14","1.tif",0,14.350649,38,0.67687064409256
"336","32","20","col","dark","14","1.tif",0,14.350649,40,0.0102333379909396
"337","32","20","col","dark","14","1.tif",0,14.350649,42,0
"338","32","20","col","dark","14","1.tif",0,14.350649,44,0.000846896960865706
"339","32","20","col","dark","14","1.tif",0,14.350649,46,0.129034161567688
"340","32","20","col","dark","14","1.tif",0,14.350649,48,2.489089012146
"341","32","20","col","dark","14","1.tif",0,14.350649,50,0.0394159965217113
"342","32","20","col","dark","14","1.tif",0,14.350649,52,0.0882184356451035
"343","32","20","col","dark","14","1.tif",0,14.350649,54,6.09637594223022
"344","32","20","col","dark","14","1.tif",0,14.350649,56,0.529745817184448
"345","32","20","col","dark","14","1.tif",0,14.350649,58,0
"346","32","20","col","dark","14","1.tif",0,14.350649,60,0
"347","32","20","col","dark","14","1.tif",0,14.350649,62,0.0338758789002895
