image,segment_id,length,direction,start_x,start_y,end_x,end_y,apex_id,intensity,intensity_ratio,diameter,rep_x,rep_y
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,28a2bf04-0e4e-4442-bbf8-491d202ddea4,19.235384,27.8972786043,1185,337,1176,354,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,14e261b3-9748-4b16-8d4e-3dcee49ccb76,34.713108,41.4964598158,1094,341,1117,367,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,2e080c5b-072b-4e90-bc3a-712ed67c616a,20.518284,43.025068446,836,345,822,360,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,eae847dc-98c3-475a-bfce-18d6b95e09f9,20.396078,11.3099196846,875,345,879,365,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d1cc8c7c-f959-47ee-adbc-3e8191d64bca,28.635643,24.7751458596,1248,348,1260,374,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b27c664f-ff60-4651-bf3f-bc2065774b08,31.320919,16.6992381015,726,356,717,386,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,75197525-151d-420e-8c04-b8244cbf3969,83.60024,6.8699961957,1017,356,1027,439,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f9a3e337-c344-4573-a02e-a17c575eb6b1,23.853722,56.9761273432,855,358,875,371,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4b035bc9-55ea-452c-9d9b-1e7ba8a1970e,36.619667,34.9920160277,1123,358,1144,388,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,55327a22-936d-4ff6-b458-a298d5985eae,49.09175,33.3663749972,917,366,890,407,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9bef2827-b341-4f84-b5b6-64771607ad4b,25.942244,62.4471894641,740,376,717,388,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,ec155eea-3c51-497c-8a15-6b46a1a44abf,50.24938,5.710583878,875,379,870,429,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,158f38bf-7696-45f4-a619-ae7886752eae,58.412327,38.0470503604,1163,380,1199,426,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e9a1e127-2a0a-4388-928a-f114392a2abd,37.64306,39.6106992275,1292,380,1316,409,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,bd8f8b94-66fd-4d7b-ab1f-34525681b5d2,26.400757,52.6960562352,710,398,689,414,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d229d30e-d9c4-4763-8ce5-da0bee1509e0,30.870699,65.0952264846,935,407,907,420,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a262b11c-5875-4980-b3ef-52a14577d37b,30.88689,29.054613178,889,408,874,435,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,828dab5a-266a-48fe-943b-21f865501562,156.08011,26.2367243797,1316,409,1385,549,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d985ce2a-e631-4c17-91f4-3b47b64909bf,21.954498,30.0685957414,1129,410,1118,429,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b3c4773e-b70e-479d-9a4d-84ca755a24c6,25.495098,48.1798258729,965,412,946,429,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,864c1be0-01b8-40f9-ab98-dc8c127f563c,21.189621,19.2900395032,1071,423,1078,443,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,647ed828-b22b-4642-bebf-0501037cc8cb,26.925823,31.3286850475,1199,425,1213,448,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,327626ef-1819-495e-8e2e-591bacae2e9a,35.510563,80.2723999605,1391,426,1426,432,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,69f56304-9e3c-44f2-92e4-fee9eb57d88f,35.805027,35.9097202446,1132,430,1153,459,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,5b1f2167-6c0f-4dd4-96bd-e32cf087dec0,63.505905,63.8384306962,680,435,623,463,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,55f65b23-3845-4e5e-a041-22d3bfeb0b0d,37.107952,14.0362306729,868,438,877,474,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7077f6b9-37f9-4c0f-a3bb-ba05f3460bfc,25.059929,61.3895223773,1476,445,1498,457,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,85ea5757-8c2a-4ca2-9173-52848d6ba313,59.77458,17.5255817081,867,446,849,503,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a7b4db12-3a21-402f-8b16-e56d7119472f,35.805027,54.0902904566,1499,452,1528,473,-1,-1,-1,-1,-1,-1
