"","experiment","das","phosphorus","plant","aq","x","y","angle","count"
"268","53","22","high","3","1.tif",0,0,84,0.4218412638
"269","53","22","high","3","1.tif",0,0,86,0.4013796151
"270","53","22","high","3","1.tif",0,0,88,0.3835597038
"271","53","22","high","4","2.tif",0,0,90,0.6303080916
"272","53","22","high","4","2.tif",0,0,88,0.3816582263
"273","53","22","high","4","2.tif",0,0,86,0.4339942634
"274","53","22","high","4","2.tif",0,0,84,0.5123557448
"275","53","22","high","4","2.tif",0,0,82,0.5808508992
"276","53","22","high","4","2.tif",0,0,80,0.7663867474
"277","53","22","high","4","2.tif",0,0,78,0.9713172913
"278","53","22","high","4","2.tif",0,0,76,0.9680824876
"279","53","22","high","4","2.tif",0,0,74,1.0295363665
"280","53","22","high","4","2.tif",0,0,72,1.0780894756
"281","53","22","high","4","2.tif",0,0,70,1.0930876732
"282","53","22","high","4","2.tif",0,0,68,1.1272332668
"283","53","22","high","4","2.tif",0,0,66,1.0186811686
"284","53","22","high","4","2.tif",0,0,64,1.0011043549
"285","53","22","high","4","2.tif",0,0,62,1.1555278301
"286","53","22","high","4","2.tif",0,0,60,1.0565519333
"287","53","22","high","4","2.tif",0,0,58,0.8555182815
"288","53","22","high","4","2.tif",0,0,56,0.9096679688
"289","53","22","high","4","2.tif",0,0,54,0.9625515342
"290","53","22","high","4","2.tif",0,0,52,0.9610033035
"291","53","22","high","4","2.tif",0,0,50,1.3236504793
"292","53","22","high","4","2.tif",0,0,48,1.4256615639
"293","53","22","high","4","2.tif",0,0,46,1.5552639961
"294","53","22","high","4","2.tif",0,0,44,1.6856079102
"295","53","22","high","4","2.tif",0,0,42,1.7451324463
"296","53","22","high","4","2.tif",0,0,40,2.2365291119
"297","53","22","high","4","2.tif",0,0,38,1.8080170155
"298","53","22","high","4","2.tif",0,0,36,1.7293059826
"299","53","22","high","4","2.tif",0,0,34,1.333995223
"300","53","22","high","4","2.tif",0,0,32,1.3729183674
"301","53","22","high","4","2.tif",0,0,30,1.2552422285
"302","53","22","high","4","2.tif",0,0,28,1.2595368624
"303","53","22","high","4","2.tif",0,0,26,1.3054767847
"304","53","22","high","4","2.tif",0,0,24,1.2886925936
"305","53","22","high","4","2.tif",0,0,22,1.4387241602
"306","53","22","high","4","2.tif",0,0,20,1.4336271286
"307","53","22","high","4","2.tif",0,0,18,1.5248794556
"308","53","22","high","4","2.tif",0,0,16,2.5074400902
"309","53","22","high","4","2.tif",0,0,14,2.7339246273
"310","53","22","high","4","2.tif",0,0,12,2.3309113979
"311","53","22","high","4","2.tif",0,0,10,1.4957011938
"312","53","22","high","4","2.tif",0,0,8,1.4569884539
"313","53","22","high","4","2.tif",0,0,6,1.4598852396
"314","53","22","high","4","2.tif",0,0,4,1.2296391726
"315","53","22","high","4","2.tif",0,0,2,1.6347510815
"316","53","22","high","4","2.tif",0,0,1.27222193825778e-13,2.0254015923
"317","53","22","high","4","2.tif",0,0,2,1.0950146914
"318","53","22","high","4","2.tif",0,0,4,1.3789534569
"319","53","22","high","4","2.tif",0,0,6,1.1825782061
"320","53","22","high","4","2.tif",0,0,8,1.123552084
"321","53","22","high","4","2.tif",0,0,10,1.1156448126
"322","53","22","high","4","2.tif",0,0,12,1.1044251919
"323","53","22","high","4","2.tif",0,0,14,1.0763907433
"324","53","22","high","4","2.tif",0,0,16,0.7531421185
"325","53","22","high","4","2.tif",0,0,18,1.0620086193
"326","53","22","high","4","2.tif",0,0,20,0.886028707
"327","53","22","high","4","2.tif",0,0,22,0.906631887
"328","53","22","high","4","2.tif",0,0,24,0.7217740417
"329","53","22","high","4","2.tif",0,0,26,0.744209826
"330","53","22","high","4","2.tif",0,0,28,0.7943714857
"331","53","22","high","4","2.tif",0,0,30,1.0198247433
"332","53","22","high","4","2.tif",0,0,32,1.1923683882
"333","53","22","high","4","2.tif",0,0,34,1.4397829771
"334","53","22","high","4","2.tif",0,0,36,1.587695837
"335","53","22","high","4","2.tif",0,0,38,1.7514643669
"336","53","22","high","4","2.tif",0,0,40,1.7213582993
"337","53","22","high","4","2.tif",0,0,42,1.2442981005
"338","53","22","high","4","2.tif",0,0,44,1.2434670925
"339","53","22","high","4","2.tif",0,0,46,1.4433324337
"340","53","22","high","4","2.tif",0,0,48,1.2694690228
"341","53","22","high","4","2.tif",0,0,50,1.2895826101
"342","53","22","high","4","2.tif",0,0,52,1.1383321285
"343","53","22","high","4","2.tif",0,0,54,0.9765739441
"344","53","22","high","4","2.tif",0,0,56,0.8720349669
"345","53","22","high","4","2.tif",0,0,58,0.8499369025
"346","53","22","high","4","2.tif",0,0,60,0.6016350389
"347","53","22","high","4","2.tif",0,0,62,0.5434889793
"348","53","22","high","4","2.tif",0,0,64,0.6182825565
"349","53","22","high","4","2.tif",0,0,66,0.5823780894
"350","53","22","high","4","2.tif",0,0,68,0.5108471513
"351","53","22","high","4","2.tif",0,0,70,0.3753557503
"352","53","22","high","4","2.tif",0,0,72,0.3735521734
"353","53","22","high","4","2.tif",0,0,74,0.4030162692
"354","53","22","high","4","2.tif",0,0,76,0.3665943444
"355","53","22","high","4","2.tif",0,0,78,0.5115199089
"356","53","22","high","4","2.tif",0,0,80,0.5041847229
"357","53","22","high","4","2.tif",0,0,82,0.4633930027
"358","53","22","high","4","2.tif",0,0,84,0.3884397745
"359","53","22","high","4","2.tif",0,0,86,0.3440503478
"360","53","22","high","4","2.tif",0,0,88,0.3386032879
"361","53","22","high","5","3.tif",0,0,90,0.4963237941
"362","53","22","high","5","3.tif",0,0,88,0.3668487668
"363","53","22","high","5","3.tif",0,0,86,0.3795145452
"364","53","22","high","5","3.tif",0,0,84,0.4150825143
"365","53","22","high","5","3.tif",0,0,82,0.4507144988
"366","53","22","high","5","3.tif",0,0,80,0.4950171709
"367","53","22","high","5","3.tif",0,0,78,0.5620904565
"368","53","22","high","5","3.tif",0,0,76,0.5596222878
"369","53","22","high","5","3.tif",0,0,74,0.6498644948
"370","53","22","high","5","3.tif",0,0,72,0.6778302789
"371","53","22","high","5","3.tif",0,0,70,0.6395666003
"372","53","22","high","5","3.tif",0,0,68,0.6168452501
"373","53","22","high","5","3.tif",0,0,66,0.7604992986
"374","53","22","high","5","3.tif",0,0,64,0.5843061209
"375","53","22","high","5","3.tif",0,0,62,0.5791361928
"376","53","22","high","5","3.tif",0,0,60,0.6869546771
"377","53","22","high","5","3.tif",0,0,58,0.9049111009
"378","53","22","high","5","3.tif",0,0,56,0.9813745618
"379","53","22","high","5","3.tif",0,0,54,0.898499012
"380","53","22","high","5","3.tif",0,0,52,1.1054420471
"381","53","22","high","5","3.tif",0,0,50,1.4324265718
"382","53","22","high","5","3.tif",0,0,48,1.7393671274
"383","53","22","high","5","3.tif",0,0,46,2.1365642548
"384","53","22","high","5","3.tif",0,0,44,2.3985204697
"385","53","22","high","5","3.tif",0,0,42,2.5406441689
"386","53","22","high","5","3.tif",0,0,40,2.6311855316
"387","53","22","high","5","3.tif",0,0,38,2.2296030521
"388","53","22","high","5","3.tif",0,0,36,1.6915137768
"389","53","22","high","5","3.tif",0,0,34,1.4005366564
"390","53","22","high","5","3.tif",0,0,32,1.3787864447
"391","53","22","high","5","3.tif",0,0,30,1.1801396608
"392","53","22","high","5","3.tif",0,0,28,0.9690812826
"393","53","22","high","5","3.tif",0,0,26,1.1699075699
"394","53","22","high","5","3.tif",0,0,24,1.4470226765
"395","53","22","high","5","3.tif",0,0,22,1.1962893009
"396","53","22","high","5","3.tif",0,0,20,1.1587121487
"397","53","22","high","5","3.tif",0,0,18,1.0168626308
"398","53","22","high","5","3.tif",0,0,16,1.2165541649
