landa,luciferase,area,mean,stdv,min,max
520,Ppy,6854,1007.473,6.868,982,1033
540,Ppy,6854,1007.521,6.893,979,1031
560,Ppy,6854,1008.187,7.108,982,1047
580,Ppy,6854,1011.242,11.051,983,1118
600,Ppy,6854,1015.777,20.24,984,1289
620,Ppy,6854,1026.345,44.82,984,1787
640,Ppy,6854,1018.596,27.207,983,1385
660,Ppy,6854,1014.957,19.862,986,1312
680,Ppy,6854,1012.437,14.393,982,1229
700,Ppy,6854,1009.69,8.736,981,1082
500,Ppy,3753,1007.3,6.886,985,1030
520,Ppy,3753,1007.342,6.929,984,1031
540,Ppy,3753,1007.399,6.896,983,1030
560,Ppy,3753,1008.244,7.119,984,1040
580,Ppy,3753,1011.517,10.458,987,1096
600,Ppy,3753,1015.913,18.203,982,1168
620,Ppy,3753,1024.674,35.17,982,1340
640,Ppy,3753,1016.835,18.642,982,1164
660,Ppy,3753,1013.306,13.47,985,1133
680,Ppy,3753,1011.574,10.79,987,1089
700,Ppy,3753,1009.137,7.645,984,1044
500,Ppy,4170,1007.286,6.916,980,1031
520,Ppy,4170,1007.257,6.907,983,1030
540,Ppy,4170,1007.361,6.94,982,1030
560,Ppy,4170,1008.379,7.187,984,1048
580,Ppy,4170,1011.276,10.097,977,1129
600,Ppy,4170,1015.462,19.111,977,1305
620,Ppy,4170,1024.243,36.311,989,1535
640,Ppy,4170,1017.682,56.184,987,1321
660,Ppy,4170,1013.418,13.791,980,1193
680,Ppy,4170,1011.699,11.018,986,1116
700,Ppy,4170,1009.336,7.762,983,1054
500,Ppy,5670,1007.315,6.797,984,1030
520,Ppy,5670,1007.477,6.839,979,1036
540,Ppy,5670,1007.538,6.904,983,1035
560,Ppy,5670,1008.125,6.987,982,1036
580,Ppy,5670,1010.471,9.327,982,1098
600,Ppy,5670,1013.886,16.148,985,1271
620,Ppy,5670,1021.643,33.499,987,1557
640,Ppy,5670,1015.357,19.31,987,1334
660,Ppy,5670,1012.581,14.373,980,1224
680,Ppy,5670,1010.977,11.182,984,1159
700,Ppy,5670,1009.244,7.858,983,1066
500,CBR,7052,1008.574,6.973,983,1034
520,CBR,7052,1008.723,6.955,984,1034
540,CBR,7052,1008.902,6.918,982,1039
560,CBR,7052,1009.203,6.99,984,1036
580,CBR,7052,1010.359,8.313,981,1092
600,CBR,7052,1011.737,11.97,984,1195
620,CBR,7052,1014.332,19.24,985,1276
640,CBR,7052,1011.96,11.579,982,1179
660,CBR,7052,1011.194,9.517,982,1117
680,CBR,7052,1010.299,8.257,978,1083
700,CBR,7052,1009.534,7.15,985,1040
500,CBR,7224,1008.504,6.893,982,1033
520,CBR,7224,1008.795,6.923,981,1039
540,CBR,7224,1008.782,6.954,984,1035
560,CBR,7224,1009.064,7.019,978,1035
580,CBR,7224,1011.957,134.248,983,1056
600,CBR,7224,1011.094,8.726,986,1080
620,CBR,7224,1013.059,11.042,983,1124
640,CBR,7224,1011.358,8.32,985,1066
660,CBR,7224,1010.495,7.587,980,1048
680,CBR,7224,1009.97,7.446,983,1039
700,CBR,7224,1009.437,7.026,986,1035
500,CBR,4454,1008.876,7.034,985,1032
520,CBR,4454,1008.92,6.927,985,1035
540,CBR,4454,1008.874,6.929,986,1037
560,CBR,4454,1009.371,7.01,983,1038
580,CBR,4454,1010.272,7.308,985,1044
600,CBR,4454,1010.744,8.054,984,1078
620,CBR,4454,1012.458,10.157,986,1114
640,CBR,4454,1010.927,8.109,987,1068
660,CBR,4454,1010.358,7.434,986,1070
680,CBR,4454,1010.095,7.219,981,1038
700,CBR,4454,1009.64,6.87,984,1035
500,CBR,5358,1008.831,6.949,984,1034
520,CBR,5358,1009.351,19.061,984,1034
540,CBR,5358,1009.271,6.98,985,1035
560,CBR,5358,1009.6,7.073,985,1034
580,CBR,5358,1010.783,26.891,986,1060
600,CBR,5358,1011.588,8.872,977,1105
620,CBR,5358,1013.819,12.632,984,1128
640,CBR,5358,1011.979,9.037,985,1075
660,CBR,5358,1011.309,8.279,983,1063
680,CBR,5358,1010.569,7.423,985,1069
700,CBR,5358,1009.862,7.074,982,1039
500,CBR,5796,1008.934,6.94,979,1032
520,CBR,5796,1009.073,7.02,984,1033
540,CBR,5796,1009.059,6.922,984,1032
540,CBR,5796,1009.059,6.922,984,1032
560,CBR,5796,1009.259,6.912,984,1035
580,CBR,5796,1010.13,7.397,984,1044
600,CBR,5796,1011.306,7.885,987,1046
620,CBR,5796,1013.532,10.281,986,1079
640,CBR,5796,1012.141,14.709,984,1833
660,CBR,5796,1011.168,7.854,984,1051
680,CBR,5796,1010.73,7.545,984,1054
700,CBR,5796,1010.026,7.186,986,1040
